time,Open,High,Low,Close,Volume,spread,Volume
2026-05-15 08:50:00,1.16348,1.16351,1.16304,1.16329,324,2,0
2026-05-15 09:00:00,1.16329,1.16334,1.16219,1.1622,716,2,0
2026-05-15 09:10:00,1.16219,1.16243,1.16172,1.16184,845,2,0
2026-05-15 09:20:00,1.16184,1.16265,1.16184,1.16249,727,2,0
2026-05-15 09:30:00,1.16249,1.16256,1.16222,1.16239,469,2,0
2026-05-15 09:40:00,1.16239,1.1626400000000001,1.16221,1.16228,477,2,0
2026-05-15 09:50:00,1.16228,1.16288,1.1622,1.16278,695,2,0
2026-05-15 10:00:00,1.16279,1.16349,1.16272,1.16339,546,2,0
2026-05-15 10:10:00,1.16339,1.1635900000000001,1.16337,1.16345,540,2,0
2026-05-15 10:20:00,1.16345,1.16405,1.16331,1.16374,500,2,0
2026-05-15 10:30:00,1.16374,1.1644,1.16363,1.16438,643,2,0
2026-05-15 10:40:00,1.16438,1.16485,1.16413,1.16455,1193,2,0
2026-05-15 10:50:00,1.16453,1.16554,1.16439,1.16491,1247,2,0
2026-05-15 11:00:00,1.16491,1.16501,1.16407,1.1644700000000001,751,2,0
2026-05-15 11:10:00,1.1644700000000001,1.16469,1.16432,1.16439,456,2,0
2026-05-15 11:20:00,1.16439,1.1644,1.1639599999999999,1.16398,534,2,0
2026-05-15 11:30:00,1.16398,1.16403,1.16352,1.16353,602,2,0
2026-05-15 11:40:00,1.16353,1.16366,1.16311,1.1634,664,2,0
2026-05-15 11:50:00,1.1634,1.16344,1.16291,1.16315,381,2,0
2026-05-15 12:00:00,1.16315,1.16319,1.16261,1.16279,622,2,0
2026-05-15 12:10:00,1.16279,1.16295,1.1626,1.16271,423,2,0
2026-05-15 12:20:00,1.16269,1.16309,1.1626400000000001,1.16294,376,2,0
2026-05-15 12:30:00,1.16294,1.16295,1.16206,1.16221,591,2,0
2026-05-15 12:40:00,1.16221,1.16247,1.16187,1.16242,538,2,0
2026-05-15 12:50:00,1.16242,1.16291,1.16229,1.16262,362,2,0
2026-05-15 13:00:00,1.16262,1.16283,1.16229,1.16255,657,2,0
2026-05-15 13:10:00,1.16255,1.16295,1.16254,1.16281,386,2,0
2026-05-15 13:20:00,1.16281,1.16321,1.1626,1.1629,411,2,0
2026-05-15 13:30:00,1.16296,1.163,1.16242,1.16272,740,2,0
2026-05-15 13:40:00,1.16272,1.16295,1.1620300000000001,1.16217,1034,2,0
2026-05-15 13:50:00,1.16217,1.16256,1.16189,1.16234,994,2,0
2026-05-15 14:00:00,1.16234,1.16273,1.1621299999999999,1.16254,1209,2,0
2026-05-15 14:10:00,1.16254,1.16364,1.16229,1.16363,933,2,0
2026-05-15 14:20:00,1.16365,1.16377,1.16299,1.16323,954,2,0
2026-05-15 14:30:00,1.16323,1.16338,1.16285,1.16285,757,2,0
2026-05-15 14:40:00,1.16284,1.16302,1.16234,1.1625,661,2,0
2026-05-15 14:50:00,1.1625,1.16306,1.16234,1.16293,821,2,0
2026-05-15 15:00:00,1.16293,1.16302,1.16244,1.16285,887,2,0
2026-05-15 15:10:00,1.16285,1.16309,1.16237,1.16239,664,2,0
2026-05-15 15:20:00,1.16238,1.16256,1.16204,1.1623,794,2,0
2026-05-15 15:30:00,1.16229,1.1626,1.16225,1.1623999999999999,511,2,0
2026-05-15 15:40:00,1.1623999999999999,1.16258,1.16212,1.16212,511,2,0
2026-05-15 15:50:00,1.16212,1.16263,1.16207,1.16263,586,2,0
2026-05-15 16:00:00,1.16263,1.16271,1.1623,1.16257,489,2,0
2026-05-15 16:10:00,1.16257,1.1626,1.16232,1.16254,310,2,0
2026-05-15 16:20:00,1.16254,1.16276,1.16249,1.16276,270,2,0
2026-05-15 16:30:00,1.16276,1.16307,1.16268,1.16307,389,2,0
2026-05-15 16:40:00,1.16307,1.16312,1.16289,1.16296,328,2,0
2026-05-15 16:50:00,1.16296,1.16305,1.16269,1.1629800000000001,311,2,0
2026-05-15 17:00:00,1.1629800000000001,1.16324,1.16286,1.16311,339,2,0
2026-05-15 17:10:00,1.16311,1.16339,1.16311,1.16337,293,2,0
2026-05-15 17:20:00,1.16337,1.16356,1.16319,1.1632500000000001,343,2,0
2026-05-15 17:30:00,1.1632500000000001,1.16333,1.16293,1.16302,343,2,0
2026-05-15 17:40:00,1.16302,1.1631,1.16284,1.16293,381,2,0
2026-05-15 17:50:00,1.16293,1.16294,1.16265,1.16267,290,2,0
2026-05-15 18:00:00,1.16267,1.16272,1.16232,1.16238,394,2,0
2026-05-15 18:10:00,1.16238,1.16257,1.16208,1.16214,505,2,0
2026-05-15 18:20:00,1.16214,1.16235,1.16209,1.16215,462,2,0
2026-05-15 18:30:00,1.16214,1.16217,1.16168,1.1619,418,2,0
2026-05-15 18:40:00,1.1619,1.16215,1.1618,1.16214,181,2,0
2026-05-15 18:50:00,1.16214,1.16238,1.16199,1.16218,251,2,0
2026-05-15 19:00:00,1.16218,1.16224,1.16208,1.16214,264,2,0
2026-05-15 19:10:00,1.16214,1.16214,1.16194,1.16208,129,2,0
2026-05-15 19:20:00,1.16208,1.1622,1.16204,1.1621299999999999,127,2,0
2026-05-15 19:30:00,1.1621299999999999,1.16231,1.1621,1.16226,161,2,0
2026-05-15 19:40:00,1.16226,1.16229,1.1619,1.16209,196,2,0
2026-05-15 19:50:00,1.16209,1.16225,1.16193,1.1621299999999999,322,2,0
2026-05-15 20:00:00,1.1621299999999999,1.16224,1.16191,1.1621,201,2,0
2026-05-15 20:10:00,1.1621,1.16225,1.16206,1.16216,122,2,0
2026-05-15 20:20:00,1.16216,1.1622,1.16204,1.16208,146,2,0
2026-05-15 20:30:00,1.16208,1.16241,1.16208,1.16241,159,2,0
2026-05-15 20:40:00,1.16241,1.16249,1.16236,1.16245,245,2,0
2026-05-15 20:50:00,1.16245,1.16256,1.16232,1.16232,177,2,0
2026-05-17 21:10:00,1.1617,1.162,1.16168,1.16192,64,48,0
2026-05-17 21:20:00,1.16192,1.16192,1.1616,1.1616,35,55,0
2026-05-17 21:30:00,1.1616,1.16174,1.1616,1.16173,30,44,0
2026-05-17 21:40:00,1.16173,1.16175,1.16158,1.16172,50,39,0
2026-05-17 21:50:00,1.16172,1.16216,1.16172,1.16202,77,54,0
2026-05-17 22:00:00,1.16202,1.16227,1.162,1.16207,257,23,0
2026-05-17 22:10:00,1.16208,1.16225,1.1620300000000001,1.16205,361,17,0
2026-05-17 22:20:00,1.16205,1.16217,1.16192,1.16197,119,16,0
2026-05-17 22:30:00,1.16197,1.16229,1.16196,1.16228,266,7,0
2026-05-17 22:40:00,1.16228,1.16237,1.16224,1.16227,102,2,0
2026-05-17 22:50:00,1.16227,1.16234,1.16222,1.16228,63,3,0
2026-05-17 23:00:00,1.16228,1.16234,1.16202,1.16208,169,2,0
2026-05-17 23:10:00,1.16208,1.16217,1.1620300000000001,1.16214,107,2,0
2026-05-17 23:20:00,1.1621299999999999,1.16217,1.1619,1.16195,82,2,0
2026-05-17 23:30:00,1.16195,1.16195,1.16157,1.16158,249,2,0
2026-05-17 23:40:00,1.16159,1.16162,1.16119,1.16132,492,2,0
2026-05-17 23:50:00,1.16132,1.16143,1.16122,1.16135,328,2,0
2026-05-18 00:00:00,1.16135,1.1621,1.16133,1.16184,634,2,0
2026-05-18 00:10:00,1.16184,1.16193,1.16146,1.1615,500,2,0
2026-05-18 00:20:00,1.1615,1.16175,1.16139,1.1615,320,2,0
2026-05-18 00:30:00,1.1615,1.16159,1.16122,1.16122,494,2,0
2026-05-18 00:40:00,1.16122,1.16128,1.16101,1.1611799999999999,500,2,0
2026-05-18 00:50:00,1.1611799999999999,1.16126,1.16082,1.16115,486,2,0
2026-05-18 01:00:00,1.16115,1.16134,1.16083,1.16134,455,2,0
2026-05-18 01:10:00,1.16134,1.16135,1.16098,1.1612,507,2,0
2026-05-18 01:20:00,1.1612,1.16138,1.16101,1.1613,786,2,0
2026-05-18 01:30:00,1.1613,1.16165,1.16122,1.16146,569,2,0
2026-05-18 01:40:00,1.16146,1.16164,1.16123,1.16159,489,2,0
2026-05-18 01:50:00,1.16159,1.16187,1.16157,1.16174,391,2,0
2026-05-18 02:00:00,1.16174,1.16174,1.16129,1.16134,315,2,0
2026-05-18 02:10:00,1.16134,1.16175,1.16134,1.16171,307,2,0
2026-05-18 02:20:00,1.1617,1.16182,1.16159,1.16177,187,2,0
2026-05-18 02:30:00,1.16177,1.16194,1.16167,1.1617,224,2,0
2026-05-18 02:40:00,1.1617,1.16174,1.16153,1.16153,271,2,0
2026-05-18 02:50:00,1.16153,1.16157,1.16137,1.16155,243,2,0
2026-05-18 03:00:00,1.16155,1.16171,1.16153,1.1616900000000001,207,2,0
2026-05-18 03:10:00,1.1616900000000001,1.16177,1.16164,1.16174,194,2,0
2026-05-18 03:20:00,1.16174,1.16204,1.16167,1.16201,212,2,0
2026-05-18 03:30:00,1.16201,1.16204,1.1617899999999999,1.16187,224,2,0
2026-05-18 03:40:00,1.16187,1.16219,1.16184,1.16216,223,2,0
2026-05-18 03:50:00,1.16216,1.16224,1.1620300000000001,1.16217,193,2,0
2026-05-18 04:00:00,1.16217,1.16255,1.16216,1.16244,256,2,0
2026-05-18 04:10:00,1.16244,1.1626,1.16239,1.16239,191,2,0
2026-05-18 04:20:00,1.16239,1.1623999999999999,1.16208,1.1621299999999999,266,2,0
2026-05-18 04:30:00,1.1621299999999999,1.16231,1.16208,1.16218,285,2,0
2026-05-18 04:40:00,1.16218,1.16227,1.1621,1.1621299999999999,181,2,0
2026-05-18 04:50:00,1.1621299999999999,1.1621299999999999,1.1619,1.16206,205,2,0
2026-05-18 05:00:00,1.16206,1.16219,1.16191,1.16205,333,2,0
2026-05-18 05:10:00,1.16205,1.16205,1.16167,1.16183,283,2,0
2026-05-18 05:20:00,1.16183,1.16208,1.16174,1.16201,348,2,0
2026-05-18 05:30:00,1.16201,1.16219,1.16185,1.16217,347,2,0
2026-05-18 05:40:00,1.16217,1.16218,1.16194,1.1621,225,2,0
2026-05-18 05:50:00,1.1621,1.16231,1.162,1.1623,233,2,0
2026-05-18 06:00:00,1.1623,1.16265,1.16218,1.16256,388,2,0
2026-05-18 06:10:00,1.16256,1.16303,1.16249,1.16292,273,2,0
2026-05-18 06:20:00,1.16292,1.1633499999999999,1.16285,1.16305,311,2,0
2026-05-18 06:30:00,1.16305,1.16345,1.16299,1.16333,391,2,0
2026-05-18 06:40:00,1.16332,1.16365,1.16331,1.1635,371,2,0
2026-05-18 06:50:00,1.1635,1.16365,1.1634,1.16357,430,2,0
2026-05-18 07:00:00,1.16357,1.16366,1.16319,1.16332,521,2,0
2026-05-18 07:10:00,1.16331,1.16342,1.16316,1.16337,314,2,0
2026-05-18 07:20:00,1.16337,1.16395,1.16316,1.16369,570,2,0
2026-05-18 07:30:00,1.16369,1.16403,1.16354,1.1638,522,2,0
2026-05-18 07:40:00,1.1638,1.16382,1.16328,1.1633,278,2,0
2026-05-18 07:50:00,1.1633,1.16353,1.16313,1.1632,564,2,0
2026-05-18 08:00:00,1.1632,1.16336,1.16297,1.16299,535,2,0
2026-05-18 08:10:00,1.16299,1.16353,1.1629,1.16351,255,2,0
2026-05-18 08:20:00,1.16351,1.16377,1.16338,1.16377,328,2,0
2026-05-18 08:30:00,1.16378,1.16451,1.1637,1.1642000000000001,556,2,0
2026-05-18 08:40:00,1.1642000000000001,1.16424,1.16374,1.1641,354,2,0
2026-05-18 08:50:00,1.1641,1.16452,1.16409,1.16414,398,2,0
2026-05-18 09:00:00,1.16414,1.16426,1.16383,1.16398,529,2,0
2026-05-18 09:10:00,1.16398,1.16402,1.16374,1.16375,368,2,0
2026-05-18 09:20:00,1.16375,1.16397,1.16373,1.16395,290,2,0
2026-05-18 09:30:00,1.16395,1.16411,1.16377,1.1639599999999999,281,2,0
2026-05-18 09:40:00,1.1639599999999999,1.16402,1.16376,1.16379,261,2,0
2026-05-18 09:50:00,1.16379,1.16384,1.16349,1.16349,329,2,0
2026-05-18 10:00:00,1.16349,1.16367,1.16327,1.16329,422,2,0
2026-05-18 10:10:00,1.16329,1.16358,1.1632,1.1635,322,2,0
2026-05-18 10:20:00,1.1635,1.16364,1.16341,1.16361,231,2,0
2026-05-18 10:30:00,1.16361,1.16364,1.1632,1.1633499999999999,272,2,0
2026-05-18 10:40:00,1.1633499999999999,1.16345,1.16308,1.16318,253,2,0
2026-05-18 10:50:00,1.16318,1.1632500000000001,1.16263,1.16269,354,2,0
2026-05-18 11:00:00,1.16269,1.16308,1.1626400000000001,1.16285,340,2,0
2026-05-18 11:10:00,1.16285,1.163,1.1627,1.16299,473,2,0
2026-05-18 11:20:00,1.16299,1.16334,1.16296,1.16307,206,2,0
2026-05-18 11:30:00,1.16307,1.16463,1.16302,1.16463,735,2,0
2026-05-18 11:40:00,1.16462,1.16495,1.1642299999999999,1.16426,1445,2,0
2026-05-18 11:50:00,1.16426,1.16434,1.16385,1.16415,785,2,0
2026-05-18 12:00:00,1.16415,1.16485,1.16409,1.1648,474,2,0
2026-05-18 12:10:00,1.1648,1.16491,1.16427,1.1644700000000001,660,2,0
2026-05-18 12:20:00,1.1644700000000001,1.16464,1.16431,1.16463,639,2,0
2026-05-18 12:30:00,1.16463,1.16545,1.16456,1.16524,1055,2,0
2026-05-18 12:40:00,1.16524,1.16573,1.16488,1.16538,1001,2,0
2026-05-18 12:50:00,1.16538,1.1655,1.16487,1.16512,707,2,0
2026-05-18 13:00:00,1.16512,1.16538,1.16467,1.165,964,2,0
2026-05-18 13:10:00,1.165,1.16514,1.16451,1.16472,545,2,0
2026-05-18 13:20:00,1.16473,1.16497,1.1645699999999999,1.16496,534,2,0
2026-05-18 13:30:00,1.16497,1.16505,1.16459,1.16468,757,2,0
2026-05-18 13:40:00,1.16468,1.16549,1.16438,1.16544,1169,2,0
2026-05-18 13:50:00,1.16544,1.1656,1.16506,1.16511,712,2,0
2026-05-18 14:00:00,1.16511,1.16533,1.16428,1.16465,950,2,0
2026-05-18 14:10:00,1.16465,1.16485,1.16432,1.16462,940,2,0
2026-05-18 14:20:00,1.16462,1.16466,1.16418,1.16454,768,2,0
2026-05-18 14:30:00,1.16454,1.16474,1.16413,1.16445,840,2,0
2026-05-18 14:40:00,1.16445,1.1645,1.16418,1.16429,702,2,0
2026-05-18 14:50:00,1.16429,1.16469,1.16419,1.16419,772,2,0
2026-05-18 15:00:00,1.16419,1.1642299999999999,1.16334,1.16336,1214,2,0
2026-05-18 15:10:00,1.16337,1.16401,1.16332,1.16382,647,2,0
2026-05-18 15:20:00,1.16382,1.16425,1.16366,1.16404,839,2,0
2026-05-18 15:30:00,1.16404,1.1648100000000001,1.16388,1.16471,698,2,0
2026-05-18 15:40:00,1.16471,1.16491,1.1645,1.1646,595,2,0
2026-05-18 15:50:00,1.1646,1.16529,1.1646,1.16483,789,2,0
2026-05-18 16:00:00,1.16483,1.165,1.16439,1.16494,682,2,0
2026-05-18 16:10:00,1.16494,1.16549,1.16491,1.16541,435,2,0
2026-05-18 16:20:00,1.16541,1.16561,1.16487,1.16496,798,2,0
2026-05-18 16:30:00,1.16496,1.1654,1.1648,1.1651799999999999,670,2,0
2026-05-18 16:40:00,1.1651799999999999,1.16539,1.16501,1.16525,343,2,0
2026-05-18 16:50:00,1.16525,1.16545,1.16507,1.16514,429,2,0
2026-05-18 17:00:00,1.16514,1.16531,1.16496,1.16502,484,2,0
2026-05-18 17:10:00,1.16502,1.16534,1.16494,1.16524,363,2,0
2026-05-18 17:20:00,1.16524,1.16525,1.16509,1.16513,228,2,0
2026-05-18 17:30:00,1.16513,1.16521,1.16498,1.16519,236,2,0
2026-05-18 17:40:00,1.16519,1.16532,1.16495,1.16496,227,2,0
2026-05-18 17:50:00,1.16496,1.16516,1.1648,1.1648100000000001,169,2,0
2026-05-18 18:00:00,1.1648100000000001,1.16487,1.16451,1.16455,352,2,0
2026-05-18 18:10:00,1.16455,1.16465,1.16442,1.1645,245,2,0
2026-05-18 18:20:00,1.1645,1.1645,1.16366,1.16387,500,2,0
2026-05-18 18:30:00,1.16387,1.16397,1.1635900000000001,1.1636,320,2,0
2026-05-18 18:40:00,1.1636,1.16373,1.16356,1.1636199999999999,261,2,0
2026-05-18 18:50:00,1.1636199999999999,1.16367,1.16287,1.16291,357,2,0
2026-05-18 19:00:00,1.16293,1.16563,1.16292,1.16474,2418,2,0
2026-05-18 19:10:00,1.16474,1.16496,1.16443,1.16485,906,2,0
2026-05-18 19:20:00,1.16488,1.1651,1.16445,1.16474,776,2,0
2026-05-18 19:30:00,1.16475,1.16516,1.16472,1.16515,585,2,0
2026-05-18 19:40:00,1.16515,1.16552,1.16509,1.1654200000000001,477,2,0
2026-05-18 19:50:00,1.16543,1.16554,1.16507,1.16509,414,2,0
2026-05-18 20:00:00,1.16509,1.16562,1.16509,1.16554,255,2,0
2026-05-18 20:10:00,1.16554,1.16607,1.16554,1.16601,163,2,0
2026-05-18 20:20:00,1.16601,1.16601,1.16582,1.16592,75,2,0
2026-05-18 20:30:00,1.16592,1.16592,1.16552,1.16552,171,2,0
2026-05-18 20:40:00,1.16552,1.16585,1.16546,1.16556,322,2,0
2026-05-18 20:50:00,1.16554,1.16563,1.16544,1.16551,406,2,0
2026-05-18 21:00:00,1.16536,1.16541,1.16485,1.16486,18,16,0
2026-05-18 21:10:00,1.16486,1.1650800000000001,1.16479,1.16487,39,53,0
2026-05-18 21:20:00,1.16487,1.16488,1.16487,1.16487,12,69,0
2026-05-18 21:30:00,1.16487,1.16527,1.16487,1.16504,16,34,0
2026-05-18 21:40:00,1.16504,1.16592,1.16504,1.1656,42,23,0
